"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-01","0.00","52","66","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-02","0.00","51","63","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-03","0.55","53","56","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-04","0.00","54","63","51"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-05","0.15","58","65","52"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-06","0.00","56","62","45"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-07","0.00","49","53","43"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-08","1.88","52","55","51"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-09","0.27","55","61","52"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-10","0.00","54","59","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-11","0.00","56","63","51"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-12","0.00","53","61","44"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-13","0.00","50","57","43"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-14","0.00","51","55","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-15","0.00","51","57","45"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-16","0.00","53","59","51"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-17","0.00","54","58","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-18","0.04","55","66","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-19","0.00","53","59","43"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-20","0.00","48","59","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-21","0.00","48","60","38"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-22","0.10","54","56","46"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-23","0.00","50","61","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-24","0.20","49","62","41"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-25","0.01","51","60","43"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-26","0.00","48","58","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-27","0.00","51","64","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-28","0.00","53","67","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-29","0.00","52","63","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-30","0.00","51","68","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-01-31","0.00","54","70","41"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-01","0.00","58","74","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-02","0.00","60","76","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-03","0.00","60","77","46"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-04","0.00","60","76","48"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-05","0.00","61","80","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-06","0.00","61","79","45"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-07","0.00","59","73","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-08","0.00","61","77","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-09","0.00","62","81","45"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-10","0.00","61","74","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-11","0.00","53","62","38"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-12","0.00","51","63","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-13","0.00","54","66","38"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-14","0.00","51","66","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-15","0.00","52","68","38"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-16","0.00","52","69","37"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-17","0.00","55","72","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-18","0.00","56","60","44"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-19","0.00","47","55","38"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-20","0.00","43","56","32"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-21","0.00","47","59","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-22","0.05","47","57","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-23","0.00","45","58","32"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-24","0.00","46","60","35"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-25","0.00","49","65","35"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-26","0.47","53","58","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-27","0.00","47","62","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-02-28","0.05","48","58","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-03-01","1.10","54","61","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-03-02","0.23","49","54","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2018-03-03","0.13","47","54","39"
